id,kind,price,duration_days,vendor_allowed,note_ar,note_ku,sort_order,created_at,updated_at
f975f544-f350-41d7-b4fe-3ff398ccfdac,flash_deal,5000,30,t,"","",1,2026-08-21 20:20:43.095959+00,2026-08-21 20:26:04.506976+00
84e5b0ed-1063-4e5e-acc2-55ec7f57cd6a,offer,2000,30,t,"","",2,2026-08-21 20:20:43.095959+00,2026-08-21 20:26:04.506976+00
8c79f9de-8861-4e63-b690-b8ad886a21c2,bundle,3500,30,t,"","",3,2026-08-21 20:20:43.095959+00,2026-08-21 20:26:04.506976+00
5e30c25b-a9d1-418f-a436-87e20a0475f0,near_expiry,10000,30,t,"","",5,2026-08-21 20:20:43.095959+00,2026-08-21 20:26:04.506976+00
a2d93186-9d36-4477-bc76-846a004ff2c2,outlet,2750,30,t,"","",6,2026-08-21 20:20:43.095959+00,2026-08-21 20:26:04.506976+00
303034e7-135c-4e46-a3c0-e51901db9f2a,badge,490,30,t,"","",4,2026-08-21 20:20:43.095959+00,2026-08-21 20:26:04.506976+00
