id,slot_key,name_ar,name_ku,desc_ar,desc_ku,price,max_banners,is_active,sort_order,created_at
53d7dc38-e63e-4a55-a3a2-313d459d24d3,home_hero,أعلى الصفحة الرئيسية,سەرەوەی پەڕەی سەرەکی,أول ما يراه الزبون عند فتح التطبيق,یەکەم شت کە کڕیار دەبینێت,15000,5,t,1,2026-08-20 14:37:21.518304+00
5fc90bc7-aacd-439c-be3c-157634abe61b,home_below_hero,تحت الهيرو,ژێر هیرۆ,شريط عريض تحت قسم العروض السريعة,شریتی فراوان ژێر ئۆفەری خێرا,10000,5,t,2,2026-08-20 14:37:21.518304+00
5953cf9d-9269-4710-b024-ef8b3a705adf,home_mid,وسط الصفحة الرئيسية,ناوەڕاستی پەڕەی سەرەکی,بين أقسام المنتجات,لە نێوان بەشەکانی بەرهەم,6000,5,t,3,2026-08-20 14:37:21.518304+00
7607dcd4-92be-44b1-afa2-380d0fc6f0e1,home_footer,أسفل الصفحة الرئيسية,خوارووی پەڕەی سەرەکی,آخر الصفحة الرئيسية,کۆتایی پەڕەی سەرەکی,3000,5,t,4,2026-08-20 14:37:21.518304+00
731a978e-95c1-4eab-85e3-ba6e32aabb5a,cart,صفحة السلة,پەڕەی سەبەتە,يظهر قبل إتمام الشراء,پێش تەواوکردنی کڕین دەردەکەوێت,5000,5,t,5,2026-08-20 14:37:21.518304+00
2e9a2cac-dc18-45cc-82c1-9f9d2a49b98b,products_top,أعلى صفحة المنتجات,سەرەوەی پەڕەی بەرهەمەکان,أعلى قائمة المنتجات,سەرەوەی لیستی بەرهەمەکان,7000,5,t,6,2026-08-20 14:37:21.518304+00
ddb3308c-3531-48a6-9470-cfb82cee2217,offers_page,صفحة العروض,پەڕەی ئۆفەرەکان,أعلى صفحة العروض,سەرەوەی پەڕەی ئۆفەرەکان,4000,5,t,7,2026-08-20 14:37:21.518304+00
d799a0e9-2760-414f-afaa-237048f7eef4,product_page,صفحة المنتج,پەڕەی بەرهەم,تحت تفاصيل المنتج,ژێر وردەکاری بەرهەم,4000,5,t,8,2026-08-20 14:37:21.518304+00
f34ad367-b7fa-42e1-8ffb-6704b133e3f2,orders_page,صفحة الطلبات,پەڕەی داواکاریەکان,داخل صفحة طلبات الزبون,ناو پەڕەی داواکاری کڕیار,2000,5,t,9,2026-08-20 14:37:21.518304+00
