id,vendor_id,period,commission_total,marketing_total,amount,status,note,paid_at,created_at,updated_at,rewards_total,sales_total,paid_amount,closed_at
215e5fee-0db2-4a9b-ad03-e3d5f6533c68,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,2026-08,41400,46000,82400,paid,"",2026-08-20 17:38:22.582+00,2026-08-20 17:38:23.223198+00,2026-08-23 15:48:36.01461+00,0,0,82400,
e16712d9-f2fb-4a7d-9850-3dd980d40f2d,5581377c-f475-42e6-a8ce-89e64a1c95ba,2026-08,0,35500,25000,paid,"",2026-08-20 17:38:57.845+00,2026-08-20 17:38:58.313414+00,2026-08-23 15:48:36.01461+00,0,0,25000,
a048ab39-32b3-4150-8548-1bbfe0c32fbd,70a07ff3-7043-4af4-a786-ceaff0562092,2026-08,0,38000,-38000,partly_paid,"",2026-08-23 15:46:36.317+00,2026-08-23 15:45:52.519143+00,2026-08-23 15:48:36.01461+00,0,0,15000,2026-08-23 15:46:36.317+00
