id,title_ar,title_ku,subtitle_ar,subtitle_ku,product_ids,price,compare_price,image_url,hue,chroma,sort_order,is_active,created_at,updated_at,vendor_id,kind,stock,expiry_date,ends_at
bc20d127-6960-471f-aa23-ded267425760,باقة العيادة الأساسية,پاکێجی بنەڕەتی کلینیک,ثلاث منتجات أساسية بسعر واحد موفر,سێ بەرهەمی سەرەکی بە نرخێکی خەسڵەتدار,"{c174ef26-f847-400b-8964-9dca54d87f94,7cdeb3b4-5a9e-4981-b8d2-f1afd9b2ef88,ef48a377-f389-4029-b08e-2e3a64edc484,81f5bf17-98de-4003-b2cd-04b82182b001,7e0e93a1-c6bc-4adb-bc7e-bb75c1dbcbd5}",198900,234000,https://cdn-icons-png.flaticon.com/512/3124/3124925.png,150,0.23,0,t,2026-08-19 12:35:56.687498+00,2026-08-19 15:14:50.31544+00,,lot,0,,
eabecbf1-2d4f-4e7b-820a-8428c4ab5d51,Dental Center,Dental Center,"","","{f3f815d9-18c4-42e2-8ca1-a7c69f55d0e8,e5193e1d-d7d1-42b8-9b52-93af42d4e7fd}",0,,,95,0.23,0,t,2026-08-20 06:09:13.404797+00,2026-08-20 06:09:13.404797+00,5581377c-f475-42e6-a8ce-89e64a1c95ba,lot,0,,
af5fd048-3f1f-43b3-a222-63e996a0b994,Testtttt,Testtttt,Shjsjs,Shjsjs,{45839fde-4d23-4098-9588-bed9f366bc4b},25000,45000,,250,0.23,0,t,2026-08-21 11:05:25.444304+00,2026-08-21 11:05:25.444304+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,fixed,100,,
b13d0094-3a44-421d-bd7f-8f8d3566fe65,كِت اختبار ١٠ منتجات,کیتی تاقیکردنەوە ١٠ بەرهەم,حزمة تجريبية تحتوي ١٠ منتجات,پاکێجی تاقیکردنەوە بە ١٠ بەرهەم,"{39ac8de7-b865-4dd6-a29c-5017fee85c55,fb8fa217-7cc5-4bed-9076-bc4960083735,46c389b4-6013-4d01-ae20-7916f53d0c84,8768f077-4f09-40e8-9613-bf432f2e55bc,bd1baebf-6a02-4655-b105-26ba718a3f40,516ec8bf-ff24-4cea-84d8-477570bf8262,818cfc1d-807b-463c-a3e1-224694a7c035,84ebbb42-5a43-46c1-aebd-45eb57658279,1166a3e2-55ed-4924-9f78-edf0742a2c61,d26e22c8-60cd-4225-a65e-5ec04bf2d43d}",249000,390000,,15,0.16,0,t,2026-08-21 18:41:54.909467+00,2026-08-21 18:41:54.909467+00,,bundle,20,,
60066355-e088-4e99-bd5e-788a3bdda212,بەندڵی شاز,بەندڵی شاز,"","","{a6311b7d-4deb-4214-9136-44e31937e95e,45839fde-4d23-4098-9588-bed9f366bc4b,e898bb29-7f2e-43ad-a5b8-6ddb0bf1dc66,8d181d69-ab79-45ee-97f4-578e538da64a,420e0908-0309-433f-b83f-2480deb4c1bb,0a61a018-1137-4564-b17d-46f7458a5b0b}",50000,150000,,190,0.23,0,t,2026-08-21 19:48:23.871545+00,2026-08-21 19:48:23.871545+00,8c5cef4e-2041-4f96-8cdd-d37b8c1b423a,fixed,100,,
